Label,CopyFileA,CopyFileW,CreateDirectoryW,DeleteFileW,DeviceIoControl,FindFirstFileExW,GetFileAttributesExW,GetFileAttributesW,GetFileInformationByHandle,GetFileInformationByHandleEx,GetFileSize,GetFileSizeEx,GetFileType,GetFileVersionInfoExW,GetFileVersionInfoSizeExW,GetFileVersionInfoSizeW,GetFileVersionInfoW,GetShortPathNameW,GetSystemDirectoryA,GetSystemDirectoryW,GetSystemTimeAsFileTime,GetSystemWindowsDirectoryA,GetSystemWindowsDirectoryW,GetTempPathW,GetVolumeNameForVolumeMountPointW,GetVolumePathNamesForVolumeNameW,GetVolumePathNameW,InternetReadFile,MoveFileWithProgressW,NtCreateFile,NtDeviceIoControlFile,NtOpenDirectoryObject,NtOpenFile,NtQueryAttributesFile,NtQueryDirectoryFile,NtQueryInformationFile,NtReadFile,NtSetInformationFile,NtWriteFile,RemoveDirectoryA,RemoveDirectoryW,SearchPathW,SetEndOfFile,SetFileAttributesW,SetFileInformationByHandle,SetFilePointer,SetFilePointerEx,SetFileTime,SUMMARY_DIRECTORY_CREATED,SUMMARY_DIRECTORY_ENUMERATED,SUMMARY_DIRECTORY_REMOVED,SUMMARY_FILE_COPIED,SUMMARY_FILE_CREATED,SUMMARY_FILE_DELETED,SUMMARY_FILE_EXISTS,SUMMARY_FILE_FAILED,SUMMARY_FILE_MOVED,SUMMARY_FILE_OPENED,SUMMARY_FILE_READ,SUMMARY_FILE_RECREATED,SUMMARY_FILE_WRITTEN,URLDownloadToFileW,FindFirstFileExA,NtQueryFullAttributesFile
Goodware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Goodware,0,7,9,15,1,22,47,82,0,0,82,0,15,0,0,5,5,6,2,9,49,0,33,27,0,0,1,0,0,321,228,0,234,7,136,47,385,1,328,0,1,0,3,0,0,186,0,13,9,9,1,7,19,15,41,74,0,39,24,16,19,0,0,0
Goodware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Goodware,0,7,19,22,23,30,58,314,0,52,377,24,18,2,2,5,5,6,2,14,546,0,35,28,0,0,12,0,0,690,229,0,482,133,288,218,463,46,351,0,4,38,4,6,0,206,41,13,12,14,2,7,20,21,110,83,0,216,71,16,21,0,0,0
Goodware,0,0,14,0,1,44,6,7,1,34,3,29,0,0,0,0,0,0,0,4,230,0,4,1,4,8,0,0,0,167,0,0,83,71,169,90,285,17,61,0,0,2,0,0,0,14,1,7,13,13,0,0,12,0,12,12,0,74,33,0,10,0,0,7
Goodware,0,0,43,0,0,15,0,4,0,0,352,0,0,0,0,0,0,0,5,3,2,0,5,0,0,0,0,0,0,379,0,26,73,24,21,41,74,28,44,4,0,0,28,0,0,90,0,28,5,10,4,0,30,0,3,36,0,346,2,0,17,0,0,0
Goodware,0,0,17,0,1,7,0,55,0,0,7,0,4,0,0,1,1,0,14,7,43,1,19,0,1,0,1,0,0,50,13,0,169,11,7,163,506,1,184,0,0,4,33,0,0,84,0,32,13,7,0,0,34,0,17,1,0,44,32,0,34,0,0,0
Goodware,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
Goodware,0,0,16,12,12,4,13,291,4,39,251,24,0,2,2,4,4,0,0,16,490,1,25,0,10,11,14,0,7,263,0,1,309,32,173,208,41505,47,273,0,0,6,8,0,0,49,41,7,13,2,0,0,17,12,96,7,7,130,31,3,19,0,0,0
Goodware,0,0,18,12,4,17,11,73,2,28,8,23,1,0,0,3,3,0,0,17,184,0,25,0,6,8,0,0,6,131,10,1,28,21,82,5,318,0,127,0,3,5,7,0,0,36,0,6,14,10,3,0,14,12,43,10,6,71,24,2,14,0,0,0
Goodware,0,0,1,0,0,0,0,22,0,1,13,1,0,0,0,0,0,0,0,4,19,0,6,0,4,8,0,0,0,43,0,11,30,26,9,14,15,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,1,0,22,1,0,27,2,0,0,0,0,0
Goodware,0,0,15,0,8,42,16,258,3,56,275,34,3,2,2,2,2,0,1,4,551,0,6,0,4,8,0,0,0,324,0,0,321,125,268,229,217,49,26,2,0,7,0,0,0,33,42,4,10,18,2,0,14,0,68,18,0,138,42,1,14,0,0,7
Goodware,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Goodware,0,0,71,2,0,5,7,586,0,28,25,10,28,0,0,11,11,0,0,8,142,0,7,1,8,16,0,0,4,453,0,0,390,5,465,375,2952,39,2247,0,0,1,0,214,0,420,1,245,22,5,0,0,256,2,271,7,4,292,27,3,251,0,0,0
Goodware,0,0,23,0,6,742,15,32,5,48,55,26,94,0,0,0,0,0,2,3,266,0,76,2,4,8,0,0,0,378,0,0,215,694,150,41,1361,113,653,8,0,13,1,0,0,192,2,83,22,141,8,0,93,0,27,13,0,158,37,0,93,0,0,4
Goodware,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,40,0,0,5,0,0,0,28,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,19,0,3,1,0,0,0,0,0
Goodware,0,0,1072,2,0,6,3,1752,0,9,2,9,3,0,0,0,0,0,0,4,286,0,8,1,4,8,0,0,0,554,0,0,176,2,109,59,2927,0,2711,0,0,0,0,1,0,301,1,287,106,6,0,0,291,2,323,1,0,128,18,2,288,0,0,0
Goodware,0,0,0,0,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Goodware,0,0,1,1,0,0,0,12,0,0,0,0,0,0,0,1,1,0,0,5,1,0,2,1,0,0,0,0,0,3,0,0,1,0,0,1,1,0,62,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,10,0,0,2,1,0,1,0,0,0
Goodware,0,0,0,8,286,0,4,61,0,0,61,0,0,0,0,0,0,9,0,19,129,0,31,4,0,0,0,0,0,217,283,1,67,26,29,27,122,0,30,0,0,31,2,0,0,42,0,4,0,0,0,0,8,8,21,11,0,51,13,10,9,0,0,0
Goodware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodware,0,0,14,6,30,128,23,3092,6,107,66,52,4,0,0,2,2,0,867,35,1270,0,20,128,8,16,13,0,0,796,0,0,167,95,624,138,1929,8,135,1,0,73,0,9,0,97,4,15,10,51,1,0,26,6,69,32,0,133,53,1,24,0,0,0
Goodware,0,0,1,0,8,0,16,49,0,23,2,25,0,14,14,2,2,0,0,6,297,0,3,0,4,8,0,0,0,212,0,1,25,47,136,12,48,3,1,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,35,10,0,91,25,0,1,0,0,0
Goodware,0,0,75,17,3,11,18,1244,3,39,8,33,0,0,0,2,2,0,381,2,271,380,387,0,4,8,0,0,0,570,0,0,781,8,196,401,408,379,498,3,0,4,379,0,0,792,1,378,75,9,3,0,388,17,854,70,0,462,40,1,388,0,0,0
