Label,CopyFileA,CopyFileW,CreateDirectoryW,DeleteFileW,DeviceIoControl,FindFirstFileExW,GetFileAttributesExW,GetFileAttributesW,GetFileInformationByHandle,GetFileInformationByHandleEx,GetFileSize,GetFileSizeEx,GetFileType,GetFileVersionInfoExW,GetFileVersionInfoSizeExW,GetFileVersionInfoSizeW,GetFileVersionInfoW,GetShortPathNameW,GetSystemDirectoryA,GetSystemDirectoryW,GetSystemTimeAsFileTime,GetSystemWindowsDirectoryA,GetSystemWindowsDirectoryW,GetTempPathW,GetVolumeNameForVolumeMountPointW,GetVolumePathNamesForVolumeNameW,GetVolumePathNameW,InternetReadFile,MoveFileWithProgressW,NtCreateFile,NtDeviceIoControlFile,NtOpenDirectoryObject,NtOpenFile,NtQueryAttributesFile,NtQueryDirectoryFile,NtQueryInformationFile,NtReadFile,NtSetInformationFile,NtWriteFile,RemoveDirectoryA,RemoveDirectoryW,SearchPathW,SetEndOfFile,SetFileAttributesW,SetFileInformationByHandle,SetFilePointer,SetFilePointerEx,SetFileTime,SUMMARY_DIRECTORY_CREATED,SUMMARY_DIRECTORY_ENUMERATED,SUMMARY_DIRECTORY_REMOVED,SUMMARY_FILE_COPIED,SUMMARY_FILE_CREATED,SUMMARY_FILE_DELETED,SUMMARY_FILE_EXISTS,SUMMARY_FILE_FAILED,SUMMARY_FILE_MOVED,SUMMARY_FILE_OPENED,SUMMARY_FILE_READ,SUMMARY_FILE_RECREATED,SUMMARY_FILE_WRITTEN,URLDownloadToFileW,FindFirstFileExA,NtQueryFullAttributesFile,activite_fichier,activite_reseau,activite_systeme,activite_volume,modifie_fichiers,presence_reseau,chiffre_fichiers,manipule_systeme,score_suspicion,ratio_fichier_total,ratio_reseau_total,ratio_systeme_total,ratio_fichier_systeme
Goodware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0,0,0,1,1,0.6363636363636364,0.0,0.2727272727272727,1.75
Goodware,0.0,7.0,9.0,15.0,1.0,22.0,47.0,82.0,0.0,0.0,82.0,0.0,15.0,0.0,0.0,5.0,5.0,6.0,2.0,9.0,49.0,0.0,33.0,27.0,0.0,0.0,1.0,0.0,0.0,321.0,228.0,0.0,234.0,7.0,136.0,47.0,385.0,1.0,328.0,0.0,1.0,0.0,3.0,0.0,0.0,186.0,0.0,13.0,9.0,9.0,1.0,7.0,19.0,15.0,41.0,74.0,0.0,39.0,24.0,16.0,19.0,0.0,0.0,0.0,2230.0,0.0,349.0,1.0,1,0,1,1,3,0.8640061991476172,0.0,0.13521890740023246,6.371428571428571
Goodware,0.0,7.0,19.0,22.0,23.0,30.0,58.0,314.0,0.0,52.0,377.0,24.0,18.0,2.0,2.0,5.0,5.0,6.0,2.0,14.0,546.0,0.0,35.0,28.0,0.0,0.0,12.0,0.0,0.0,690.0,229.0,0.0,482.0,133.0,288.0,218.0,463.0,46.0,351.0,0.0,4.0,38.0,4.0,6.0,0.0,206.0,41.0,13.0,12.0,14.0,2.0,7.0,20.0,21.0,110.0,83.0,0.0,216.0,71.0,16.0,21.0,0.0,0.0,0.0,4517.0,0.0,877.0,12.0,1,0,1,1,3,0.8353985574255595,0.0,0.16219715184020714,5.144646924829157
Goodware,0.0,0.0,14.0,0.0,1.0,44.0,6.0,7.0,1.0,34.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,230.0,0.0,4.0,1.0,4.0,8.0,0.0,0.0,0.0,167.0,0.0,0.0,83.0,71.0,169.0,90.0,285.0,17.0,61.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,1.0,7.0,13.0,13.0,0.0,0.0,12.0,0.0,12.0,12.0,0.0,74.0,33.0,0.0,10.0,0.0,0.0,0.0,1284.0,0.0,240.0,12.0,1,0,1,1,3,0.8353936239427456,0.0,0.1561483409238777,5.327800829875518
Goodware,0.0,0.0,43.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,26.0,73.0,24.0,21.0,41.0,74.0,28.0,44.0,4.0,0.0,0.0,28.0,0.0,0.0,90.0,0.0,28.0,5.0,10.0,4.0,0.0,30.0,0.0,3.0,36.0,0.0,346.0,2.0,0.0,17.0,0.0,0.0,0.0,1701.0,0.0,15.0,0.0,1,0,1,1,3,0.9759036144578314,0.0,0.008605851979345954,106.3125
Goodware,0.0,0.0,17.0,0.0,1.0,7.0,0.0,55.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,14.0,7.0,43.0,1.0,19.0,0.0,1.0,0.0,1.0,0.0,0.0,50.0,13.0,0.0,169.0,11.0,7.0,163.0,506.0,1.0,184.0,0.0,0.0,4.0,33.0,0.0,0.0,84.0,0.0,32.0,13.0,7.0,0.0,0.0,34.0,0.0,17.0,1.0,0.0,44.0,32.0,0.0,34.0,0.0,0.0,0.0,1518.0,0.0,98.0,2.0,1,0,1,1,3,0.9376158122297714,0.0,0.06053119209388511,15.333333333333334
Goodware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,0.0,0,0,0,1,1,0.5217391304347826,0.0,0.43478260869565216,1.0909090909090908
Goodware,0.0,0.0,16.0,12.0,12.0,4.0,13.0,291.0,4.0,39.0,251.0,24.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,16.0,490.0,1.0,25.0,0.0,10.0,11.0,14.0,0.0,7.0,263.0,0.0,1.0,309.0,32.0,173.0,208.0,60.0,47.0,273.0,0.0,0.0,6.0,8.0,0.0,0.0,49.0,41.0,7.0,13.0,2.0,0.0,0.0,17.0,12.0,96.0,7.0,7.0,130.0,31.0,3.0,19.0,0.0,0.0,0.0,2486.0,0.0,544.0,35.0,1,0,1,1,3,0.8105640691229214,0.0,0.17737202477991523,4.561467889908257
Goodware,0.0,0.0,18.0,12.0,4.0,17.0,11.0,73.0,2.0,28.0,8.0,23.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,17.0,184.0,0.0,25.0,0.0,6.0,8.0,0.0,0.0,6.0,131.0,10.0,1.0,28.0,21.0,82.0,5.0,318.0,0.0,127.0,0.0,3.0,5.0,7.0,0.0,0.0,36.0,0.0,6.0,14.0,10.0,3.0,0.0,14.0,12.0,43.0,10.0,6.0,71.0,24.0,2.0,14.0,0.0,0.0,0.0,1197.0,0.0,240.0,14.0,1,0,1,1,3,0.82381280110117,0.0,0.16517549896765313,4.966804979253112
Goodware,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,6.0,0.0,4.0,8.0,0.0,0.0,0.0,43.0,0.0,11.0,30.0,26.0,9.0,14.0,15.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,1.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,29.0,12.0,0,0,1,1,2,0.8197278911564626,0.0,0.09863945578231292,8.033333333333333
