Label,CopyFileA,CopyFileW,CreateDirectoryW,DeleteFileW,DeviceIoControl,FindFirstFileExW,GetFileAttributesExW,GetFileAttributesW,GetFileInformationByHandle,GetFileInformationByHandleEx,GetFileSize,GetFileSizeEx,GetFileType,GetFileVersionInfoExW,GetFileVersionInfoSizeExW,GetFileVersionInfoSizeW,GetFileVersionInfoW,GetShortPathNameW,GetSystemDirectoryA,GetSystemDirectoryW,GetSystemTimeAsFileTime,GetSystemWindowsDirectoryA,GetSystemWindowsDirectoryW,GetTempPathW,GetVolumeNameForVolumeMountPointW,GetVolumePathNamesForVolumeNameW,GetVolumePathNameW,InternetReadFile,MoveFileWithProgressW,NtCreateFile,NtDeviceIoControlFile,NtOpenDirectoryObject,NtOpenFile,NtQueryAttributesFile,NtQueryDirectoryFile,NtQueryInformationFile,NtReadFile,NtSetInformationFile,NtWriteFile,RemoveDirectoryA,RemoveDirectoryW,SearchPathW,SetEndOfFile,SetFileAttributesW,SetFileInformationByHandle,SetFilePointer,SetFilePointerEx,SetFileTime,SUMMARY_DIRECTORY_CREATED,SUMMARY_DIRECTORY_ENUMERATED,SUMMARY_DIRECTORY_REMOVED,SUMMARY_FILE_COPIED,SUMMARY_FILE_CREATED,SUMMARY_FILE_DELETED,SUMMARY_FILE_EXISTS,SUMMARY_FILE_FAILED,SUMMARY_FILE_MOVED,SUMMARY_FILE_OPENED,SUMMARY_FILE_READ,SUMMARY_FILE_RECREATED,SUMMARY_FILE_WRITTEN,URLDownloadToFileW,FindFirstFileExA,NtQueryFullAttributesFile
Goodware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodware,0.0,7.0,9.0,15.0,1.0,22.0,47.0,82.0,0.0,0.0,82.0,0.0,15.0,0.0,0.0,5.0,5.0,6.0,2.0,9.0,49.0,0.0,33.0,27.0,0.0,0.0,1.0,0.0,0.0,321.0,228.0,0.0,234.0,7.0,136.0,47.0,385.0,1.0,328.0,0.0,1.0,0.0,3.0,0.0,0.0,186.0,0.0,13.0,9.0,9.0,1.0,7.0,19.0,15.0,41.0,74.0,0.0,39.0,24.0,16.0,19.0,0.0,0.0,0.0
Goodware,0.0,7.0,19.0,22.0,23.0,30.0,58.0,314.0,0.0,52.0,377.0,24.0,18.0,2.0,2.0,5.0,5.0,6.0,2.0,14.0,546.0,0.0,35.0,28.0,0.0,0.0,12.0,0.0,0.0,690.0,229.0,0.0,482.0,133.0,288.0,218.0,463.0,46.0,351.0,0.0,4.0,38.0,4.0,6.0,0.0,206.0,41.0,13.0,12.0,14.0,2.0,7.0,20.0,21.0,110.0,83.0,0.0,216.0,71.0,16.0,21.0,0.0,0.0,0.0
Goodware,0.0,0.0,14.0,0.0,1.0,44.0,6.0,7.0,1.0,34.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,230.0,0.0,4.0,1.0,4.0,8.0,0.0,0.0,0.0,167.0,0.0,0.0,83.0,71.0,169.0,90.0,285.0,17.0,61.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,1.0,7.0,13.0,13.0,0.0,0.0,12.0,0.0,12.0,12.0,0.0,74.0,33.0,0.0,10.0,0.0,0.0,0.0
Goodware,0.0,0.0,43.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,26.0,73.0,24.0,21.0,41.0,74.0,28.0,44.0,4.0,0.0,0.0,28.0,0.0,0.0,90.0,0.0,28.0,5.0,10.0,4.0,0.0,30.0,0.0,3.0,36.0,0.0,346.0,2.0,0.0,17.0,0.0,0.0,0.0
Goodware,0.0,0.0,17.0,0.0,1.0,7.0,0.0,55.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,14.0,7.0,43.0,1.0,19.0,0.0,1.0,0.0,1.0,0.0,0.0,50.0,13.0,0.0,169.0,11.0,7.0,163.0,506.0,1.0,184.0,0.0,0.0,4.0,33.0,0.0,0.0,84.0,0.0,32.0,13.0,7.0,0.0,0.0,34.0,0.0,17.0,1.0,0.0,44.0,32.0,0.0,34.0,0.0,0.0,0.0
Goodware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodware,0.0,0.0,16.0,12.0,12.0,4.0,13.0,291.0,4.0,39.0,251.0,24.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,16.0,490.0,1.0,25.0,0.0,10.0,11.0,14.0,0.0,7.0,263.0,0.0,1.0,309.0,32.0,173.0,208.0,60.0,47.0,273.0,0.0,0.0,6.0,8.0,0.0,0.0,49.0,41.0,7.0,13.0,2.0,0.0,0.0,17.0,12.0,96.0,7.0,7.0,130.0,31.0,3.0,19.0,0.0,0.0,0.0
Goodware,0.0,0.0,18.0,12.0,4.0,17.0,11.0,73.0,2.0,28.0,8.0,23.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,17.0,184.0,0.0,25.0,0.0,6.0,8.0,0.0,0.0,6.0,131.0,10.0,1.0,28.0,21.0,82.0,5.0,318.0,0.0,127.0,0.0,3.0,5.0,7.0,0.0,0.0,36.0,0.0,6.0,14.0,10.0,3.0,0.0,14.0,12.0,43.0,10.0,6.0,71.0,24.0,2.0,14.0,0.0,0.0,0.0
Goodware,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,6.0,0.0,4.0,8.0,0.0,0.0,0.0,43.0,0.0,11.0,30.0,26.0,9.0,14.0,15.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,1.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0
Goodware,0.0,0.0,15.0,0.0,8.0,42.0,16.0,258.0,3.0,56.0,275.0,34.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,4.0,551.0,0.0,6.0,0.0,4.0,8.0,0.0,0.0,0.0,324.0,0.0,0.0,321.0,125.0,268.0,229.0,217.0,49.0,26.0,2.0,0.0,7.0,0.0,0.0,0.0,33.0,42.0,4.0,10.0,18.0,2.0,0.0,14.0,0.0,68.0,18.0,0.0,138.0,42.0,1.0,14.0,0.0,0.0,0.0
Goodware,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodware,0.0,0.0,71.0,2.0,0.0,5.0,7.0,586.0,0.0,28.0,25.0,10.0,28.0,0.0,0.0,11.0,11.0,0.0,0.0,8.0,142.0,0.0,7.0,1.0,8.0,16.0,0.0,0.0,4.0,453.0,0.0,0.0,390.0,5.0,465.0,375.0,2952.0,39.0,2247.0,0.0,0.0,1.0,0.0,214.0,0.0,420.0,1.0,245.0,22.0,5.0,0.0,0.0,256.0,2.0,271.0,7.0,4.0,292.0,27.0,3.0,251.0,0.0,0.0,0.0
